OBJECTID,key_,cod_tramo,codigo_via,pr_inicial,dist_ini,pr_finl,dist_fin,territorial,tramo,sector,administrador,amv,superficie,calzada,ruta,fuente,fecha_fuente,fecha_actualiz,concesion,observacion_invias,estado,observacion_igac,reversion,pr_ini_con,pr_fin_con,ruleid_1,override,GlobalID,Shape__Length
1,4,,7006,2,750,11,450,26,Acceso Troncal del  Magdalena,Aguachica - Gamarra,1,2,,,,,,,,,,,,2+750,11+450,1,,355e5c76-ccd8-4d96-b617-900194fe601f,13175.5253270795
2,4,,70CS03,1,620,5,0,26,Acceso Troncal del  Magdalena, Gamarra - Puerto Capulco,1,2,,,,,,,,Entregada sin estructuración logica,,,,1+620,5+0,1,,6d7b7813-db09-45d9-b68b-798981702605,3379.99981558373
3,1,,45CS04,0,920,3,310,26,Acceso Troncal del  Magdalena,Aguaclara - Circunvalar de Aguachica,3,,,,,,,,,,,,,0+920,3+310,3,,c564aa03-4506-4df0-b038-875da894a460,1420.81022611498
4,4,,45CS04,0,0,1,920,26,Acceso Troncal del  Magdalena,Aguaclara - Circunvalar de Aguachica,1,2,,,,,,,,,,,,0+0,1+920,1,,425c28dc-3927-4d7e-b1f1-05380f3e59c8,1935.61093144476
5,4,,45CSE,0,0,1,812,26,Troncal del Magdalena,Variante al Poblado de Minas,1,2,1,2,,,,,,No se registran en imagenes Satelitales,,,,0+0,1+812,1,,af0c5cbd-fa9c-499a-bdb0-ba93dc5f6d00,3490.13485752853
6,4,,45CSG,0,0,1,138,26,Troncal del Magdalena,Variante al poblado de Morrison,1,2,1,2,,,,,,,,,,0+0,1+138,1,,98640064-da79-4d40-b541-4839f117bc2b,2289.50141201679
7,1,,4508,0,0,87,306,24,Troncal del Magdalena,Girardot - Cambao,2,,1,2,40,Archivos SHP suministrados por la ANI,2018/09/13 15:08:40+00,2020/01/28 00:00:00+00,,,,,,0+0,87+0306,2,,fc439d09-0ec8-4811-84aa-ff2566e2965f,89473.0828408933
8,4,451033,4510,34,0,134,470,24,Troncal del Magdalena,Puerto Salgar - Río Ermitaño,1,3,,1,,IGAC (Contrato 2130/2014),2015/09/01 00:00:00+00,2019/12/10 00:00:00+00,,,,Act. seg 33- 34,,34+0,134+470,1,,03967401-c610-475b-9486-6bade8a57590,189569.773918767
9,1,45A0425,45A04,25,200,28,200,12,Troncal Central,Paso Nacional por Zipaquirá,1,1,,2,,Google Maps,2016/01/01 00:00:00+00,2016/09/05 00:00:00+00,,,,Act. seg 25+200-28+200,,25+200,28+200,1,,e7e64078-01d5-479c-ba37-4b0b25a8040b,3939.12701299463
10,1,50CN030,50CN03,0,0,10,505,12,Conexión Transversal Buenaventura - Puerto Carreño y Troncal Central del Norte,El Salitre - Sopó,2,,,1,,IGAC (Contrato 2130/2014),2015/09/01 00:00:00+00,2016/05/01 00:00:00+00,,,,Act. seg 10 a 14+500,,0+0,10+505,2,,430b53a5-e364-4d85-a7ae-bdacd3d41fbd,10733.3689631134
